id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",47636,"185.40.234.219","00:22:bd:f8:19:ff","00:22:bd",443,6,4,0,0,1696264907118,1696264976474,69356,16,1083,1696264907118,1696264976474,69356,8,528,1696264908302,1696264976474,68172,8,555,"TLS","Web",0,6,"","","","",""
1,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",56636,"1.1.1.1","00:22:bd:f8:19:ff","00:22:bd",443,6,4,0,0,1696264910594,1696264975972,65378,401,45111,1696264910594,1696264975972,65378,201,19447,1696264910603,1696264975972,65369,200,25664,"TLS","Web",0,6,"","","","",""
2,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",5353,"224.0.0.251","01:00:5e:00:00:fb","01:00:5e",5353,17,4,0,0,1696264913184,1696264945215,32031,2,164,1696264913184,1696264945215,32031,2,164,0,0,0,0,0,"MDNS","Network",0,6,"_pgpkey-hkp._tcp.local","","","",""
3,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",35265,"142.250.184.164","00:22:bd:f8:19:ff","00:22:bd",443,17,4,0,0,1696264914858,1696264914957,99,37,27575,1696264914858,1696264914920,62,15,4048,1696264914876,1696264914957,81,22,23527,"QUIC.Google","Web",0,6,"www.google.com","e0ff461cd7b6de2e56f860db470b15a2","","",""
4,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",53604,"194.210.238.204","00:22:bd:f8:19:ff","00:22:bd",443,6,4,0,0,1696264919876,1696264920423,547,21,12381,1696264919876,1696264920423,547,14,4174,1696264919885,1696264920423,538,7,8207,"TLS.YouTube","Media",0,6,"rr1---sn-4jjo-apnl.googlevideo.com","d6b428847c40a0629f07af1a780ac24f","eb1d94daa7e0344597e756a1fb6e7054","",""
5,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",40238,"140.82.113.25","00:22:bd:f8:19:ff","00:22:bd",443,6,4,0,0,1696264938350,1696264953302,14952,5,386,1696264938350,1696264953177,14827,2,162,1696264938475,1696264953302,14827,3,224,"TLS","Web",0,6,"","","","",""
6,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",59585,"35.186.201.225","00:22:bd:f8:19:ff","00:22:bd",443,17,4,0,0,1696264973262,1696264983404,10142,51,12742,1696264973262,1696264983362,10100,27,9004,1696264973304,1696264983404,10100,24,3738,"QUIC","Web",0,6,"mt.9gag.com","039f988e8c7533e2a2d23ed517ef1be9","","",""
7,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",39360,"157.240.212.35","00:22:bd:f8:19:ff","00:22:bd",443,6,4,0,0,1696264973296,1696264973384,88,20,3808,1696264973296,1696264973384,88,11,1897,1696264973310,1696264973384,74,9,1911,"TLS.Facebook","SocialNetwork",0,6,"www.facebook.com","93262e813949048ffec49b7986f15ff6","fcb2d4d0991292272fcb1e464eedfd43","",""
8,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",57286,"104.17.53.70","00:22:bd:f8:19:ff","00:22:bd",443,17,4,0,0,1696264977539,1696264981539,4000,5,6460,1696264977539,1696264981539,4000,5,6460,0,0,0,0,0,"QUIC","Web",0,6,"img-9gag-fun.9cache.com","93099bf64f831d59d7a67132562c5da4","","",""
9,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",60995,"142.250.184.174","00:22:bd:f8:19:ff","00:22:bd",443,17,4,0,0,1696264910611,1696264951381,40770,1187,892035,1696264910611,1696264951366,40755,337,99485,1696264910632,1696264951381,40749,850,792550,"QUIC.YouTube","Media",0,6,"www.youtube.com","1ef9f9a4f76e8625200f44e51bc002b5","","",""
10,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",60948,"142.250.184.14","00:22:bd:f8:19:ff","00:22:bd",443,17,4,0,0,1696264913474,1696264915581,2107,34,16786,1696264913474,1696264915565,2091,16,5881,1696264913493,1696264915581,2088,18,10905,"QUIC.YouTube","Media",0,6,"accounts.youtube.com","bca551a03e298eb0a8d599eac36c795b","","",""
11,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",40853,"194.210.238.205","00:22:bd:f8:19:ff","00:22:bd",443,17,4,0,0,1696264914302,1696264918303,4001,5,6460,1696264914302,1696264918303,4001,5,6460,0,0,0,0,0,"QUIC.YouTube","Media",0,6,"rr2---sn-4jjo-apnl.googlevideo.com","096af554126c14d5209ef8367d089a46","","",""
12,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",38642,"142.250.178.174","00:22:bd:f8:19:ff","00:22:bd",443,17,4,0,0,1696264947570,1696264947714,144,22,12665,1696264947570,1696264947691,121,11,5017,1696264947598,1696264947714,116,11,7648,"QUIC.YouTube","Media",0,6,"suggestqueries-clients6.youtube.com","503369318f4dfc3f7eaf9e3a9b9f86d0","","",""
13,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",56980,"157.240.212.14","00:22:bd:f8:19:ff","00:22:bd",443,6,4,0,0,1696264973260,1696264973349,89,24,5777,1696264973260,1696264973304,44,13,1990,1696264973271,1696264973349,78,11,3787,"TLS.Facebook","SocialNetwork",0,6,"connect.facebook.net","4c3420be297c4e11e4d736962043fc49","fcb2d4d0991292272fcb1e464eedfd43","",""
14,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",40578,"35.186.201.225","00:22:bd:f8:19:ff","00:22:bd",443,6,4,0,0,1696264973296,1696264973418,122,10,2123,1696264973296,1696264973418,122,6,1053,1696264973317,1696264973377,60,4,1070,"TLS","Web",0,6,"mt.9gag.com","c654c9aba363814d87a35544634f1213","2b0648ab686ee45e0e7c35fcfb0eea7e","",""
15,0,"192.168.52.185","a4:97:b1:63:6d:1d","a4:97:b1",47246,"52.8.9.159","00:22:bd:f8:19:ff","00:22:bd",443,6,4,0,0,1696264976166,1696264976790,624,11,1535,1696264976166,1696264976790,624,6,972,1696264976359,1696264976747,388,5,563,"TLS","Web",0,6,"t.9gag.com","71a1e1e5bacdac60ed5fc01351702593","cabca0e45d1843a8873f229da4a3323f","",""
